ticket_id,issue_number,timestamp_created,track_location_km,km_marker,defect_type,risk_score,fused_confidence,action,urgency_level,repair_deadline,assigned_crew,crew_size,crew_status,distance_to_site,repair_window,estimated_duration,priority_flag,auto_generated,human_approval_required,status
TKT_20260610131120,1,2026-06-10 13:11:20,KM_670,KM_670,surface_crack,98.0/100,94.7%,Rail Section Replacement,URGENT,12 Hours,Crew_9,4 members,Available,35.53 km,11:00 PM - 2:00 AM (Urgent Window),5 hours,CRITICAL,Yes,No,ASSIGNED
TKT_20260610131120,2,2026-06-10 13:11:20,KM_350,KM_350,missing_bolt,98.0/100,93.1%,Fastener & Connection Repair,URGENT,12 Hours,Crew_5,4 members,Available,32.45 km,11:00 PM - 2:00 AM (Urgent Window),5 hours,CRITICAL,Yes,No,ASSIGNED
TKT_20260610131120,3,2026-06-10 13:11:20,KM_1010,KM_1010,surface_crack,98.0/100,98.0%,Rail Section Replacement,URGENT,12 Hours,Crew_14,3 members,Available,13.1 km,11:00 PM - 2:00 AM (Urgent Window),5 hours,CRITICAL,Yes,No,ASSIGNED
TKT_20260610131120,4,2026-06-10 13:11:20,KM_270,KM_270,rail_corrosion,98.0/100,99.0%,Rail Surface Treatment & Inspection,URGENT,12 Hours,Crew_4,4 members,Available,24.0 km,11:00 PM - 2:00 AM (Urgent Window),4 hours,CRITICAL,Yes,No,ASSIGNED
TKT_20260610131120,5,2026-06-10 13:11:20,KM_150,KM_150,surface_crack,98.0/100,99.0%,Rail Section Replacement,URGENT,12 Hours,Crew_3,4 members,Available,11.37 km,11:00 PM - 2:00 AM (Urgent Window),2 hours,CRITICAL,Yes,No,ASSIGNED
TKT_20260610131120,6,2026-06-10 13:11:20,KM_790,KM_790,weld_defect,93.0/100,95.7%,Weld Inspection & Rework,URGENT,12 Hours,Crew_11,4 members,Available,10.06 km,11:00 PM - 2:00 AM (Urgent Window),2 hours,CRITICAL,Yes,No,ASSIGNED
TKT_20260610131120,7,2026-06-10 13:11:20,KM_460,KM_460,missing_bolt,88.0/100,90.2%,Fastener & Connection Repair,HIGH,24 Hours,Crew_7,3 members,Available,18.57 km,11:00 PM - 2:00 AM (Urgent Window),7 hours,HIGH,Yes,No,ASSIGNED
TKT_20260610131120,8,2026-06-10 13:11:20,KM_140,KM_140,surface_crack,88.0/100,94.0%,Rail Section Replacement,HIGH,24 Hours,Crew_3,4 members,Available,22.74 km,11:00 PM - 2:00 AM (Urgent Window),2 hours,HIGH,Yes,No,ASSIGNED
TKT_20260610131120,9,2026-06-10 13:11:20,KM_1240,KM_1240,missing_bolt,88.0/100,90.2%,Fastener & Connection Repair,HIGH,24 Hours,Crew_16,4 members,Available,10.87 km,11:00 PM - 2:00 AM (Urgent Window),2 hours,HIGH,Yes,No,ASSIGNED
TKT_20260610131120,10,2026-06-10 13:11:20,KM_10,KM_10,missing_bolt,85.3/100,96.5%,Fastener & Connection Repair,HIGH,24 Hours,Crew_1,3 members,Available,7.88 km,11:00 PM - 2:00 AM (Urgent Window),2 hours,HIGH,Yes,No,ASSIGNED
TKT_20260610131120,11,2026-06-10 13:11:20,KM_210,KM_210,weld_defect,83.4/100,87.7%,Weld Inspection & Rework,HIGH,24 Hours,Crew_4,4 members,Available,24.01 km,11:00 PM - 2:00 AM (Urgent Window),7 hours,HIGH,Yes,No,ASSIGNED
TKT_20260610131120,12,2026-06-10 13:11:20,KM_850,KM_850,missing_bolt,82.6/100,99.0%,Fastener & Connection Repair,HIGH,24 Hours,Crew_11,4 members,Available,50.25 km,11:00 PM - 2:00 AM (Urgent Window),6 hours,HIGH,Yes,No,ASSIGNED
TKT_20260610131120,13,2026-06-10 13:11:20,KM_1210,KM_1210,rail_corrosion,81.1/100,90.3%,Rail Surface Treatment & Inspection,HIGH,24 Hours,Crew_16,4 members,Available,2.72 km,11:00 PM - 2:00 AM (Urgent Window),4 hours,HIGH,Yes,No,ASSIGNED
TKT_20260610131120,14,2026-06-10 13:11:20,KM_1080,KM_1080,missing_bolt,77.6/100,90.5%,Fastener & Connection Repair,MEDIUM,48 Hours,Crew_14,3 members,Available,17.46 km,9:00 PM - 4:00 AM (Standard Window),6 hours,MEDIUM,Yes,Optional,ASSIGNED
TKT_20260610131120,15,2026-06-10 13:11:20,KM_50,KM_50,ballast_void,75.1/100,84.5%,Ballast Replenishment & Tamping,MEDIUM,48 Hours,Crew_2,5 members,Available,25.21 km,10:00 PM - 3:00 AM (Extended Window),4 hours,MEDIUM,Yes,Optional,ASSIGNED
TKT_20260610131120,16,2026-06-10 13:11:20,KM_160,KM_160,missing_bolt,75.1/100,88.6%,Fastener & Connection Repair,MEDIUM,48 Hours,Crew_3,4 members,Available,0.0 km,9:00 PM - 4:00 AM (Standard Window),3 hours,MEDIUM,Yes,Optional,ASSIGNED
TKT_20260610131120,17,2026-06-10 13:11:20,KM_490,KM_490,rail_corrosion,74.7/100,80.0%,Rail Surface Treatment & Inspection,MEDIUM,48 Hours,Crew_7,3 members,Available,9.28 km,9:00 PM - 4:00 AM (Standard Window),5 hours,MEDIUM,Yes,Optional,ASSIGNED
TKT_20260610131120,18,2026-06-10 13:11:20,KM_570,KM_570,missing_bolt,68.8/100,91.7%,Fastener & Connection Repair,MEDIUM,48 Hours,Crew_8,3 members,Available,14.76 km,9:00 PM - 4:00 AM (Standard Window),5 hours,MEDIUM,Yes,Optional,ASSIGNED
TKT_20260610131120,19,2026-06-10 13:11:20,KM_580,KM_580,surface_crack,68.8/100,96.2%,Rail Section Replacement,MEDIUM,48 Hours,Crew_8,3 members,Available,29.52 km,9:00 PM - 4:00 AM (Standard Window),4 hours,MEDIUM,Yes,Optional,ASSIGNED
TKT_20260610131120,20,2026-06-10 13:11:20,KM_80,KM_80,weld_defect,65.6/100,90.7%,Weld Inspection & Rework,MEDIUM,48 Hours,Crew_2,5 members,Available,0.0 km,10:00 PM - 3:00 AM (Extended Window),4 hours,MEDIUM,Yes,Optional,ASSIGNED
TKT_20260610131120,21,2026-06-10 13:11:20,KM_1090,KM_1090,ballast_void,64.6/100,94.9%,Ballast Replenishment & Tamping,MEDIUM,48 Hours,Crew_15,5 members,Available,15.89 km,9:00 PM - 4:00 AM (Standard Window),4 hours,MEDIUM,Yes,Optional,ASSIGNED
