issue_id,km_marker,km,risk_score,fused_confidence,defect_type,recommended_action,nearest_crew,crew_distance_km,crew_members,crew_status,repair_window,urgency,deadline,estimated_duration_hours
1,KM_670,670,98.0,94.7,surface_crack,Rail Section Replacement,Crew_9,35.53,4,Available,11:00 PM - 2:00 AM (Urgent Window),URGENT,12 Hours,5
2,KM_350,350,98.0,93.1,missing_bolt,Fastener & Connection Repair,Crew_5,32.45,4,Available,11:00 PM - 2:00 AM (Urgent Window),URGENT,12 Hours,5
3,KM_1010,1010,98.0,98.0,surface_crack,Rail Section Replacement,Crew_14,13.1,3,Available,11:00 PM - 2:00 AM (Urgent Window),URGENT,12 Hours,5
4,KM_270,270,98.0,99.0,rail_corrosion,Rail Surface Treatment & Inspection,Crew_4,24.0,4,Available,11:00 PM - 2:00 AM (Urgent Window),URGENT,12 Hours,4
5,KM_150,150,98.0,99.0,surface_crack,Rail Section Replacement,Crew_3,11.37,4,Available,11:00 PM - 2:00 AM (Urgent Window),URGENT,12 Hours,2
6,KM_790,790,93.0,95.7,weld_defect,Weld Inspection & Rework,Crew_11,10.06,4,Available,11:00 PM - 2:00 AM (Urgent Window),URGENT,12 Hours,2
7,KM_460,460,88.0,90.2,missing_bolt,Fastener & Connection Repair,Crew_7,18.57,3,Available,11:00 PM - 2:00 AM (Urgent Window),HIGH,24 Hours,7
8,KM_140,140,88.0,94.0,surface_crack,Rail Section Replacement,Crew_3,22.74,4,Available,11:00 PM - 2:00 AM (Urgent Window),HIGH,24 Hours,2
9,KM_1240,1240,88.0,90.2,missing_bolt,Fastener & Connection Repair,Crew_16,10.87,4,Available,11:00 PM - 2:00 AM (Urgent Window),HIGH,24 Hours,2
10,KM_10,10,85.3,96.5,missing_bolt,Fastener & Connection Repair,Crew_1,7.88,3,Available,11:00 PM - 2:00 AM (Urgent Window),HIGH,24 Hours,2
11,KM_210,210,83.4,87.7,weld_defect,Weld Inspection & Rework,Crew_4,24.01,4,Available,11:00 PM - 2:00 AM (Urgent Window),HIGH,24 Hours,7
12,KM_850,850,82.6,99.0,missing_bolt,Fastener & Connection Repair,Crew_11,50.25,4,Available,11:00 PM - 2:00 AM (Urgent Window),HIGH,24 Hours,6
13,KM_1210,1210,81.1,90.3,rail_corrosion,Rail Surface Treatment & Inspection,Crew_16,2.72,4,Available,11:00 PM - 2:00 AM (Urgent Window),HIGH,24 Hours,4
14,KM_1080,1080,77.6,90.5,missing_bolt,Fastener & Connection Repair,Crew_14,17.46,3,Available,9:00 PM - 4:00 AM (Standard Window),MEDIUM,48 Hours,6
15,KM_50,50,75.1,84.5,ballast_void,Ballast Replenishment & Tamping,Crew_2,25.21,5,Available,10:00 PM - 3:00 AM (Extended Window),MEDIUM,48 Hours,4
16,KM_160,160,75.1,88.6,missing_bolt,Fastener & Connection Repair,Crew_3,0.0,4,Available,9:00 PM - 4:00 AM (Standard Window),MEDIUM,48 Hours,3
17,KM_490,490,74.7,80.0,rail_corrosion,Rail Surface Treatment & Inspection,Crew_7,9.28,3,Available,9:00 PM - 4:00 AM (Standard Window),MEDIUM,48 Hours,5
18,KM_570,570,68.8,91.7,missing_bolt,Fastener & Connection Repair,Crew_8,14.76,3,Available,9:00 PM - 4:00 AM (Standard Window),MEDIUM,48 Hours,5
19,KM_580,580,68.8,96.2,surface_crack,Rail Section Replacement,Crew_8,29.52,3,Available,9:00 PM - 4:00 AM (Standard Window),MEDIUM,48 Hours,4
20,KM_80,80,65.6,90.7,weld_defect,Weld Inspection & Rework,Crew_2,0.0,5,Available,10:00 PM - 3:00 AM (Extended Window),MEDIUM,48 Hours,4
21,KM_1090,1090,64.6,94.9,ballast_void,Ballast Replenishment & Tamping,Crew_15,15.89,5,Available,9:00 PM - 4:00 AM (Standard Window),MEDIUM,48 Hours,4
